DiseaseName	DiseaseID	ParentIDs	Synonyms
long COVID brain fog	MESH:C000711647	MESH:D000094024|MESH:D005222	
Long QT Syndrome	MESH:D008133	MESH:D000075224|MESH:D001145|MESH:D006330	Electrocardiogram QT Prolonged
Long Qt Syndrome 10	MESH:C567514	MESH:D008133	ATFB17, INCLUDED|ATRIAL FIBRILLATION, FAMILIAL, 17, INCLUDED|LQT10
Long Qt Syndrome 11	MESH:C567513	MESH:D008133	LQT11
Long Qt Syndrome 1-2	MESH:C566006	MESH:D029597	
Long Qt Syndrome 12	MESH:C567842	MESH:D008133	LQT12
LONG QT SYNDROME 13	OMIM:613485	MESH:D008133	LQT13
LONG QT SYNDROME 14	OMIM:616247	MESH:D008133	LQT14
LONG QT SYNDROME 15	OMIM:616249	MESH:D008133	LQT15
Long Qt Syndrome 2	MESH:C563614	MESH:D008133	LONG QT SYNDROME 1/2, DIGENIC, INCLUDED;LQT1/2, DIGENIC, INCLUDED|LONG QT SYNDROME 2/3, DIGENIC, INCLUDED;LQT2/3, DIGENIC, INCLUDED|LONG QT SYNDROME 2/5, DIGENIC, INCLUDED;LQT2/5, DIGENIC, INCLUDED|LONG QT SYNDROME 2/9, DIGENIC, INCLUDED;LQT2/9, DIGENIC, INCLUDED|LQT2
Long Qt Syndrome 2-3	MESH:C565841	MESH:D008133	
Long Qt Syndrome 2-5	MESH:C566765	MESH:D008133	
Long Qt Syndrome 3	MESH:C565840	MESH:D008133	LONG QT SYNDROME 2/3, DIGENIC, INCLUDED;LQT2/3, DIGENIC, INCLUDED|LONG QT SYNDROME 3/6, DIGENIC, INCLUDED;LQT3/6, DIGENIC, INCLUDED|LONG QT SYNDROME 3, ACQUIRED, SUSCEPTIBILITY TO, INCLUDED|LQT3
Long Qt Syndrome 3-6	MESH:C566334	MESH:D008133	
Long Qt Syndrome 4	MESH:C563428	MESH:D008133	
Long Qt Syndrome 5	MESH:C566766	MESH:D008133	LONG QT SYNDROME 2/5, DIGENIC, INCLUDED;LQT2/5, DIGENIC, INCLUDED|LONG QT SYNDROME 5, ACQUIRED, SUSCEPTIBILITY TO, INCLUDED|LQT5
Long Qt Syndrome 6	MESH:C566333	MESH:D008133	LONG QT SYNDROME 3/6, DIGENIC, INCLUDED;LQT3/6, DIGENIC, INCLUDED|LONG QT SYNDROME 6, ACQUIRED, SUSCEPTIBILITY TO, INCLUDED|LQT6
Long Qt Syndrome 9	MESH:C567515	MESH:D008133	Long Qt Syndrome 2-9|LONG QT SYNDROME 2/9, DIGENIC, INCLUDED;LQT2/9, DIGENIC, INCLUDED|LONG QT SYNDROME 9, ACQUIRED, SUSCEPTIBILITY TO, INCLUDED|LQT9
Long QT syndrome type 3	MESH:C537034	MESH:D000075224|MESH:D008133	
Long Term Adverse Effects	MESH:D000069451	MESH:D010335	Adverse Effects, Long Term
Loose Anagen Hair Syndrome	MESH:D058247	MESH:D000505	Anagen Syndrome, Loose|Anagen Syndromes, Loose|Loose Anagen Syndrome|Loose Anagen Syndromes|Syndrome, Loose Anagen|Syndromes, Loose Anagen
Lopes Gorlin syndrome	MESH:C537036	MESH:D000015	Short tarsus absence of lower eyelashes|Short Tarsus with Absence of Lower Eyelashes
Lordosis	MESH:D008141	MESH:D013121	
Loss of reflex tearing	MESH:C000721448	MESH:D012021|MESH:D015352	Reflex tearing loss
Louping Ill	MESH:D008146	MESH:D012757|MESH:D018177	Ill, Louping
Low Anterior Resection Syndrome	MESH:D000094123	MESH:D003108|MESH:D011183|MESH:D012002	
Low Back Pain	MESH:D017116	MESH:D001416	Ache, Low Back|Aches, Low Back|Backache, Low|Back Ache, Low|Backaches, Low|Back Aches, Low|Back Pain, Low|Back Pain, Lower|Back Pains, Low|Back Pains, Lower|Low Backache|Low Back Ache|Low Backaches|Low Back Aches|Low Back Pain, Mechanical|Low Back Pain, Posterior Compartment|Low Back Pain, Postural|Low Back Pain, Recurrent|Low Back Pains|Lower Back Pain|Lower Back Pains|Lumbago|Mechanical Low Back Pain|Pain, Low Back|Pain, Lower Back|Pains, Low Back|Pains, Lower Back|Postural Low Back Pain|Recurrent Low Back Pain
Lower Extremity Deformities, Congenital	MESH:D038061	MESH:D017880	Lower Limb Deformities, Congenital
Lower Urinary Tract Symptoms	MESH:D059411	MESH:D020924	Lower Urinary Tract Symptom
Low Molecular Weight Proteinuria with Hypercalciuria and Nephrocalcinosis	MESH:C545036	MESH:D057973	Proteinuria, Low Molecular Weight, with Hypercalciuria and Nephrocalcinosis
Lown-Ganong-Levine Syndrome	MESH:D008151	MESH:D011226	Lown Ganong Levine Syndrome|Short PR Normal QRS Complex Syndrome|Short PR-Normal QRS Complex Syndrome|Syndrome, Lown-Ganong-Levine
Lowry Maclean syndrome	MESH:C537037	MESH:D000015|MESH:D002972|MESH:D003398|MESH:D003965|MESH:D005901|MESH:D006130|MESH:D006330|MESH:D008607|MESH:D010013	Lowry-Maclean Syndrome|Mental retardation, cleft palate, eventration of diaphragm, congenital heart defect, glaucoma, craniosynostosis, and growth failure
Lowry Wood syndrome	MESH:C537038	MESH:D006130|MESH:D008607|MESH:D008831|MESH:D010009	Epiphyseal dysplasia, microcephaly and nystagmus|Epiphyseal Dysplasia, Microcephaly, And Nystagmus|Lowry-Wood Syndrome
Low Tension Glaucoma	MESH:D057066	MESH:D005901|MESH:D009901	Glaucoma, Low Tension|Glaucoma, Normal Tension|Low Tension Glaucomas|Normal Tension Glaucoma|Normal Tension Glaucomas
Lp(A) Deficiency, Congenital	MESH:C563618	MESH:D008052	Lipoprotein(A) Deficiency, Congenital
Lubani Al Saleh Teebi syndrome	MESH:C537039	MESH:D000749|MESH:D003550|MESH:D008607|MESH:D016481	
Lubinsky syndrome	MESH:C543092	MESH:D002386|MESH:D007006	Cataracts and testicular failure|Hypogonadism-Cataract Syndrome
Lubs syndrome	MESH:C538435	MESH:D013734	Pseudohermaphroditism, Incomplete Male, Type I|Rosewater syndrome|Type I familial incomplete male pseudohermaphroditism
Lubs X-linked mental retardation syndrome	MESH:C537723	MESH:D038901	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, LUBS TYPE|LUBS X-LINKED MENTAL RETARDATION SYNDROME|MECP2 Duplication Syndrome|Mental retardation, X-linked, Lubs type|Mental Retardation, X-Linked, With Recurrent Respiratory Infections|MRXSL|Trisomy Xq28|XLMR syndrome, Lubs type
Ludwig's Angina	MESH:D008158	MESH:D002481|MESH:D009059	Angina, Ludwig's|Ludwig Angina|Ludwigs Angina|Submandibular Space Infection|Submandibular Space Infections
Lujan Fryns syndrome	MESH:C537724	MESH:D008382|MESH:D019465|MESH:D038901	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, LUJAN-FRYNS TYPE|Lujan-Fryns Syndrome|Lujan Syndrome|Marfanoid habitus, mild general hypotonia, hypernasal voice, normal testicular size, and distinct craniofacial anomalies|Mental retardation, X-linked, with marfanoid habitus|MENTAL RETARDATION, X-LINKED, WITH MARFANOID HABITUS, 1|MRXSLF|X-Linked Intellectual Deficit with Marfanoid Habitus|X-Linked Mental Retardation with Marfanoid Habitus|XLMR with Marfanoid Features
Lujo hemorrhagic fever	MESH:C000723471	MESH:D001117|MESH:D006482	Lujo virus infection
Lumbar Stenosis, Familial	MESH:C563613	MESH:D003251	
Lumpy Skin Disease	MESH:D008166	MESH:D002418|MESH:D011213	Disease, Lumpy Skin|Diseases, Lumpy Skin|Lumpy Skin Diseases|Skin Disease, Lumpy|Skin Diseases, Lumpy
Lung Abscess	MESH:D008169	MESH:D000038|MESH:D008171|MESH:D012141	Abscesses, Lung|Abscesses, Pulmonary|Abscess, Lung|Abscess, Pulmonary|Lung Abscesses|Pulmonary Abscess|Pulmonary Abscesses
Lung agenesis	MESH:C562992	MESH:D000015|MESH:D008171	Congenital lung agenesis|Pulmonary agenesis|Pulmonary Hypoplasia, Primary|Unilateral lobar pulmonary agenesis|Unilateral lung agenesis
LUNG DISEASE, IMMUNODEFICIENCY, AND CHROMOSOME BREAKAGE SYNDROME	OMIM:617241	MESH:D007153|MESH:D008171|MESH:D019457	LICS
Lung Diseases	MESH:D008171	MESH:D012140	Disease, Lung|Disease, Pulmonary|Diseases, Lung|Diseases, Pulmonary|Lung Disease|Pulmonary Disease|Pulmonary Diseases
Lung Diseases, Fungal	MESH:D008172	MESH:D008171|MESH:D009181|MESH:D012141	Fungal Disease, Pulmonary|Fungal Diseases, Pulmonary|Fungal Infection, Pulmonary|Fungal Infections, Pulmonary|Fungal Lung Disease|Fungal Lung Diseases|Lung Disease, Fungal|Pulmonary Fungal Disease|Pulmonary Fungal Diseases|Pulmonary Fungal Infection|Pulmonary Fungal Infections
Lung Diseases, Interstitial	MESH:D017563	MESH:D008171	Diffuse Parenchymal Lung Disease|Diffuse Parenchymal Lung Diseases|Interstitial Lung Disease|Interstitial Lung Diseases|Interstitial Pneumonia|Interstitial Pneumonias|Interstitial Pneumonitides|Interstitial Pneumonitis|Lung Disease, Interstitial|Pneumonia, Interstitial|Pneumonias, Interstitial|Pneumonitides, Interstitial|Pneumonitis, Interstitial
Lung Diseases, Obstructive	MESH:D008173	MESH:D008171	Lung Disease, Obstructive|Obstructive Lung Disease|Obstructive Lung Diseases|Obstructive Pulmonary Disease|Obstructive Pulmonary Diseases|Pulmonary Disease, Obstructive|Pulmonary Diseases, Obstructive
Lung Diseases, Parasitic	MESH:D008174	MESH:D008171|MESH:D010272|MESH:D012141	Lung Disease, Parasitic|Lung Parasitic Infection|Lung Parasitic Infections|Parasitic Infection, Pulmonary|Parasitic Infections of Lung|Parasitic Infections, Pulmonary|Parasitic Lung Disease|Parasitic Lung Diseases|Pulmonary Parasitic Infection|Pulmonary Parasitic Infections
Lung, Hyperlucent	MESH:D019568	MESH:D008171	Hyperlucent Lung|Hyperlucent Lungs|Hyperlucent Lungs, Unilateral|Hyperlucent Lung, Unilateral|Hyperlucent Thorax|Lungs, Hyperlucent|Lungs, Unilateral Hyperlucent|Lung, Unilateral Hyperlucent|MacLeod Syndrome|Swyer James Syndrome|Swyer-James Syndrome|Syndrome, MacLeod|Syndrome, Swyer-James|Thorax, Hyperlucent|Unilateral Hyperlucent Lung|Unilateral Hyperlucent Lungs
Lung Injury	MESH:D055370	MESH:D008171|MESH:D013898	Chronic Lung Injuries|Chronic Lung Injury|E Cigarette or Vaping Product Use Associated Lung Injury|E-Cigarette or Vaping Product Use-Associated Lung Injury|E Cigarette Use Associated Lung Injury|E-Cigarette Use-Associated Lung Injury|EVALI|EVALIs|Injuries, Lung|Injuries, Pulmonary|Injury, Lung|Injury, Pulmonary|Lung Injuries|Lung Injuries, Chronic|Lung Injury, Chronic|Pulmonary Injuries|Pulmonary Injury|Vaping Product Use Associated Lung Injury|Vaping Product Use-Associated Lung Injury
Lung Neoplasms	MESH:D008175	MESH:D008171|MESH:D012142	ADENOCARCINOMA OF LUNG, INCLUDED|ADENOCARCINOMA OF LUNG, SUSCEPTIBILITY TO|ALVEOLAR CELL CARCINOMA, INCLUDED|Cancer, Lung|Cancer of Lung|Cancer of the Lung|Cancer, Pulmonary|Cancers, Lung|Cancers, Pulmonary|LNCR1|LNCR2, INCLUDED|LNCR3|LNCR4|LNCR5|Lung Cancer|LUNG CANCER, PROTECTION AGAINST, INCLUDED|Lung Cancers|LUNG CANCER SUSCEPTIBILITY 1|LUNG CANCER SUSCEPTIBILITY 3|LUNG CANCER SUSCEPTIBILITY 4|LUNG CANCER SUSCEPTIBILITY 5|Lung Neoplasm|Neoplasm, Lung|Neoplasm, Pulmonary|Neoplasms, Lung|Neoplasms, Pulmonary|NICOTINE DEPENDENCE, SUSCEPTIBILITY TO  LUNG CANCER SUSCEPTIBILITY 2, INCLUDED|NONSMALL CELL LUNG CANCER, INCLUDED|Pulmonary Cancer|Pulmonary Cancers|Pulmonary Neoplasm|Pulmonary Neoplasms|SMOKING AS A QUANTITATIVE TRAIT LOCUS 3|SQTL3
Lupus Erythematosus, Cutaneous	MESH:D008178	MESH:D003240|MESH:D012871	Cutaneous Lupus Erythematosus|Lupus Erythematosus, Cutaneous, Subacute|Lupus Erythematosus, Subacute Cutaneous
Lupus Erythematosus, Discoid	MESH:D008179	MESH:D008178	Discoid Lupus Erythematosus|Lupus Erythematosus, Chronic Cutaneous|Lupus Erythematosus, Cutaneous, Chronic
Lupus Erythematosus, Systemic	MESH:D008180	MESH:D001327|MESH:D003240	Disease, Libman-Sacks|EXCESS LMW-DNA, INCLUDED|EXCESS LYMPHOCYTE LOW MOLECULAR WEIGHT DNA, INCLUDED|Libman Sacks Disease|Libman-Sacks Disease|Lupus Erythematosus Disseminatus|SLE|SLEB1|SLEB10|SLEB11|SLEB12|SLEB13|SLEB14|SLEB15|SLEB16|SLEB2|SLEB3|SLEB4|SLEB5|SLEB6|SLEB7|SLEB8|SLEB9|Systemic Lupus Erythematosus|SYSTEMIC LUPUS ERYTHEMATOSUS 16|SYSTEMIC LUPUS ERYTHEMATOSUS, RESISTANCE TO, 1, INCLUDED|SYSTEMIC LUPUS ERYTHEMATOSUS, SUSCEPTIBILITY TO, 1|SYSTEMIC LUPUS ERYTHEMATOSUS, SUSCEPTIBILITY TO, 10|SYSTEMIC LUPUS ERYTHEMATOSUS, SUSCEPTIBILITY TO, 11|SYSTEMIC LUPUS ERYTHEMATOSUS, SUSCEPTIBILITY TO, 12|SYSTEMIC LUPUS ERYTHEMATOSUS, SUSCEPTIBILITY TO, 13|SYSTEMIC LUPUS ERYTHEMATOSUS, SUSCEPTIBILITY TO, 14|SYSTEMIC LUPUS ERYTHEMATOSUS, SUSCEPTIBILITY TO, 15|SYSTEMIC LUPUS ERYTHEMATOSUS, SUSCEPTIBILITY TO, 2|SYSTEMIC LUPUS ERYTHEMATOSUS, SUSCEPTIBILITY TO, 3|SYSTEMIC LUPUS ERYTHEMATOSUS, SUSCEPTIBILITY TO, 4|SYSTEMIC LUPUS ERYTHEMATOSUS, SUSCEPTIBILITY TO, 5|SYSTEMIC LUPUS ERYTHEMATOSUS, SUSCEPTIBILITY TO, 6|SYSTEMIC LUPUS ERYTHEMATOSUS, SUSCEPTIBILITY TO, 7|SYSTEMIC LUPUS ERYTHEMATOSUS, SUSCEPTIBILITY TO, 8|SYSTEMIC LUPUS ERYTHEMATOSUS, SUSCEPTIBILITY TO, 9
Lupus Nephritis	MESH:D008181	MESH:D005921|MESH:D008180	Glomerulonephritides, Lupus|Glomerulonephritis, Lupus|Lupus Glomerulonephritides|Lupus Glomerulonephritis|Lupus Nephritides|Nephritides, Lupus|Nephritis, Lupus
Lupus Vasculitis, Central Nervous System	MESH:D020945	MESH:D008180|MESH:D008590|MESH:D020293	Central Nervous System Lupus|Central Nervous System Lupus Vasculitis|Central Nervous System Systemic Lupus Erythematosis|Lupus Meningoencephalitides|Lupus Meningoencephalitis|Meningoencephalitides, Lupus|Meningoencephalitis, Lupus|Neuropsychiatric Systemic Lupus Erythematosus|Systemic Lupus Erythematosis, Central Nervous System
Lupus Vulgaris	MESH:D008177	MESH:D014382	
LUSCAN-LUMISH SYNDROME	OMIM:616831	MESH:D001523|MESH:D007805|MESH:D008607|MESH:D058627	LLS
Lutembacher Syndrome	MESH:D008185	MESH:D006344	Lutembacher's Syndrome|Lutembachers Syndrome|Syndrome, Lutembacher|Syndrome, Lutembacher's
Luteoma	MESH:D018311	MESH:D010051|MESH:D018312	Gestational Luteoma|Gestational Luteomas|Luteinoma|Luteoma, Gestational|Luteoma of Pregnancy|Luteoma, Pregnancy|Luteomas|Luteomas, Gestational|Luteomas, Pregnancy|Pregnancy Luteoma|Pregnancy Luteomas
Lutz Richner Landolt syndrome	MESH:C537726	MESH:D000015|MESH:D002779|MESH:D007565|MESH:D051437	Biliary malformation with renal tubular insufficiency|Cholestatic jaundice and renal tubular insufficiency|Renal tubular insufficiency, cholestatic jaundice, and multiple congenital anomalies
Lyme Disease	MESH:D008193	MESH:D001899|MESH:D016905|MESH:D017282	Arthritis, Lyme|B. burgdorferi Infection|B. burgdorferi Infections|Borrelia burgdorferi Infection|Borrelia burgdorferi Infections|Borreliosis, Lyme|Disease, Lyme|Lyme Arthritis|Lyme Borreliosis
Lyme Neuroborreliosis	MESH:D020852	MESH:D008193|MESH:D020806	Borrelia burgdorferi Neuroborreliosis|Central Nervous System Lyme Disease|Encephalopathies, Lyme Disease|Encephalopathy, Lyme Disease|Lyme Borreliosis, Nervous System|Lyme Disease, Central Nervous System|Lyme Disease Encephalopathies|Lyme Disease Encephalopathy|Lyme Disease Mononeuritis Multiplex|Lyme Disease, Nervous System|Lyme Meningoencephalitis|Lyme Meningoradiculitis|Lyme Polyradiculitides|Lyme Polyradiculitis|Lyme Polyradiculopathies|Lyme Polyradiculopathy|Meningoencephalitis, Lyme|Meningoradiculitis, Lyme|Mononeuritis Multiplex, Lyme Disease|Nervous System Lyme Borreliosis|Nervous System Lyme Disease|Neuroborrelioses, Borrelia burgdorferi|Neuroborreliosis, Borrelia burgdorferi|Neuroborreliosis, Lyme|Peripheral Nervous System Lyme Disease|Polyradiculitides, Lyme|Polyradiculitis, Lyme|Polyradiculopathies, Lyme|Polyradiculopathy, Lyme
Lymphadenitis	MESH:D008199	MESH:D008206	Adenitides|Adenitis|Lymphadenitides
Lymphadenopathy	MESH:D000072281	MESH:D008206	Adenopathies|Adenopathy|Lymphadenopathies
Lymphangiectasia, pulmonary, congenital	MESH:C537727	MESH:D008171|MESH:D008200	CPL|Lymphangiectasia pulmonary congenital|Lymphangiomatosis, pulmonary|Pulmonary cystic lymphangiectasis
Lymphangiectasis	MESH:D008200	MESH:D008206	Lymphangiectases
Lymphangiectasis, Intestinal	MESH:D008201	MESH:D008200|MESH:D044148	Intestinal Lymphangiectases|Intestinal Lymphangiectasis|Lymphangiectases, Intestinal|Lymphangiectasia, Intestinal
Lymphangioleiomyomatosis	MESH:D018192	MESH:D008203|MESH:D054973	LAM|Lymphangioleiomyomatoses|Lymphangiomyomatoses|Lymphangiomyomatosis
Lymphangioma	MESH:D008202	MESH:D018190	Cavernous Lymphangioma|Cavernous Lymphangiomas|Endothelioma, Lymphatic|Endotheliomas, Lymphatic|Lymphangioendothelioma|Lymphangioendotheliomas|Lymphangioma, Cavernous|Lymphangiomas|Lymphangiomas, Cavernous|Lymphatic Endothelioma|Lymphatic Endotheliomas
Lymphangioma, Cystic	MESH:D018191	MESH:D008202	Colli, Cystic Hygroma|Cystic Hygroma|Cystic Hygroma Colli|Cystic Hygromas|Cystic Lymphangioma|Cystic Lymphangiomas|Hygroma|Hygroma Colli, Cystic|Hygroma, Cystic|Hygromas|Hygromas, Cystic|Lymphangiomas, Cystic
Lymphangiomyoma	MESH:D008203	MESH:D008232|MESH:D018190	Lymphangioleiomyoma|Lymphangioleiomyomas|Lymphangiomyomas
Lymphangiosarcoma	MESH:D008204	MESH:D012509|MESH:D018190	Lymphangioendothelioma, Malignant|Lymphangioendotheliomas, Malignant|Lymphangiosarcomas|Malignant Lymphangioendothelioma|Malignant Lymphangioendotheliomas
Lymphangitis	MESH:D008205	MESH:D008206	Lymphangitides
Lymphatic Abnormalities	MESH:D044148	MESH:D000013|MESH:D008206	Abnormalities, Lymphatic|Abnormality, Lymphatic|Lymphatic Abnormality
Lymphatic Diseases	MESH:D008206	MESH:D006425	Disease, Lymphatic|Diseases, Lymphatic|Lymphatic Disease|Lymphatism|Status Lymphaticus
LYMPHATIC MALFORMATION 3	OMIM:613480	MESH:D008209	LMPH1C, FORMERLY|LMPHM3|LYMPHEDEMA, HEREDITARY, IC, FORMERLY
LYMPHATIC MALFORMATION 4	OMIM:615907	MESH:D008209	LMPH1D, FORMERLY|LMPHM4|LYMPHEDEMA, HEREDITARY, ID, FORMERLY
LYMPHATIC MALFORMATION 6	OMIM:616843	MESH:D008209	GENERALIZED LYMPHATIC DYSPLASIA OF FOTIOU|LMPH3, FORMERLY|LMPHM6|LYMPHEDEMA, HEREDITARY, III, FORMERLY
LYMPHATIC MALFORMATION 7	OMIM:617300	MESH:D006344|MESH:D008206|MESH:D015160	CENTRAL CONDUCTION LYMPHATIC ANOMALY|HFASD|HYDROPS FETALIS, NONIMMUNE, AND/OR ATRIAL SEPTAL DEFECT|LMPHM7
Lymphatic Metastasis	MESH:D008207	MESH:D009362	Lymphatic Metastases|Lymph Node Metastases|Lymph Node Metastasis|Metastasis, Lymph Node
Lymphedema	MESH:D008209	MESH:D008206	Congenital Familial Lymphedema|Congenital Hereditary Lymphedema|Congenital Hereditary Lymphedemas|Congenital Lymphedema, Primary|Congenital Lymphedemas, Primary|Early Onset Lymphedema|Early-Onset Lymphedema|Early Onset Lymphedemas|Early-Onset Lymphedemas|Hereditary Lymphedema|Hereditary Lymphedema 1|Hereditary Lymphedema 1s|Hereditary Lymphedema, Congenital|Hereditary Lymphedemas|Hereditary Lymphedemas, Congenital|Hereditary Lymphedema Type I|LMPH1A, FORMERLY|LMPHM1|LYMPHATIC MALFORMATION 1|Lymphedema, Congenital Hereditary|Lymphedema, Early Onset|Lymphedema, Early-Onset|Lymphedema, Hereditary|Lymphedema, Hereditary, Ia|LYMPHEDEMA, HEREDITARY, IA, FORMERLY|LYMPHEDEMA, HEREDITARY, TYPE I, FORMERLY|Lymphedema, Nonne-Milroy|Lymphedema, Primary Congenital|Lymphedemas|Lymphedemas, Congenital Hereditary|Lymphedemas, Early Onset|Lymphedemas, Early-Onset|Lymphedemas, Hereditary|Lymphedemas, Primary Congenital|Milroy Disease|Milroy's Disease|Milroys Disease|Nonne Milroy Disease|Nonne-Milroy Disease|Nonne Milroy Lymphedema|Nonne-Milroy Lymphedema|Nonne Milroy Meige Disease|Nonne-Milroy-Meige Disease|PCL|Primary Congenital Lymphedema|Primary Congenital Lymphedemas
Lymphedema and Cerebral Arteriovenous Anomaly	MESH:C563612	MESH:D002538|MESH:D008209	
Lymphedema, Cardiac Septal Defects, And Characteristic Facies	MESH:C567398	MESH:D000015|MESH:D006344|MESH:D008209|MESH:D019066	Irons-Bianchi Syndrome|Lymphedema, Atrial Septal Defect, And Characteristic Facies
Lymphedema, Congenital Recessive	MESH:C565432	MESH:D008209	
Lymphedema distichiasis syndrome	MESH:C537710	MESH:D008209	Hereditary lymphedema-distichiasis syndrome|LPHDST|Lymphedema-Distichiasis Syndrome|Lymphedema with distichiasis|LYMPHEDEMA WITH DISTICHIASIS LYMPHEDEMA-DISTICHIASIS SYNDROME WITH RENAL DISEASE AND DIABETES MELLITUS, INCLUDED
Lymphedema-Distichiasis Syndrome with Renal Disease and Diabetes Mellitus	MESH:C567188	MESH:D003920|MESH:D007674|MESH:D008209	
Lymphedema, Hereditary, IB	MESH:C567452	MESH:D008209	LMPH1B|LMPH1B, FORMERLY|LMPHM2|LYMPHATIC MALFORMATION 2|LYMPHEDEMA, HEREDITARY, IB, FORMERLY
Lymphedema, Hereditary, II	MESH:C562467	MESH:D008209	LMPH2, FORMERLY|LMPHM5|LYMPHATIC MALFORMATION 5|LYMPHEDEMA, HEREDITARY, II, FORMERLY|Lymphedema, Late-Onset|Lymphedema Praecox|Meige Disease|Meige Lymphedema
Lymphedema, microcephaly and chorioretinopathy syndrome	MESH:C537711	MESH:D008209|MESH:D008831|MESH:D015792|MESH:D019066	Chorioretinal dysplasia-microcephaly-mental retardation syndrome|Lymphedema and Retinal Folds with Microcephaly and Microphthalmos|Lymphedema, Microcephaly, Chorioretinopathy Syndrome|Microcephaly lymphedema chorioretinal dysplasia|Microcephaly, Lymphedema, Chorioretinal Dysplasia Syndrome
Lymphedema of the lower extremities, recurrent pneumonia, bronchiectasis, and yellowed nails	MESH:C538678	MESH:D056684	
LYMPHEDEMA, PRIMARY, WITH MYELODYSPLASIA	OMIM:614038	MESH:D008209|MESH:D009190	EMBERGER SYNDROME
Lymphoblastic Leukemia, Acute, with Lymphomatous Features	MESH:C565429	MESH:D054198	LALL|Lymphomatous ALL
Lymphoblastic Transformation, Inhibition of	MESH:C565433	MESH:D007154	
Lymphoblastic Transformation, Intrinsic Defect in	MESH:C565431	MESH:D007153	
Lymphocele	MESH:D008210	MESH:D003560|MESH:D008206	Cyst, Lymphatic|Cysts, Lymphatic|Lymphatic Cyst|Lymphatic Cysts|Lymphoceles|Lymphocoele|Lymphocoeles
Lymphocytic Choriomeningitis	MESH:D008216	MESH:D001117|MESH:D008587	Armstrong's Syndrome|Armstrong Syndrome|Choriomeningitis, Lymphocytic|Encephalomyelitis, Lymphocytic Choriomeningitis Virus|Lymphocytic Choriomeningitis Virus Encephalomyelitis|Syndrome, Armstrong|Syndrome, Armstrong's
Lymphocytosis	MESH:D008218	MESH:D007964	Lymphocytoses
Lymphogranuloma Venereum	MESH:D008219	MESH:D002690	Lymphogranuloma Inguinale
Lymphohistiocytosis, Hemophagocytic	MESH:D051359	MESH:D015616	Erythrophagocytic Lymphohistiocytoses, Familial|Erythrophagocytic Lymphohistiocytosis, Familial|Familial Erythrophagocytic Lymphohistiocytoses|Familial Erythrophagocytic Lymphohistiocytosis|Familial Hemophagocytic Histiocytoses|Familial Hemophagocytic Histiocytosis|Familial Hemophagocytic Lymphocytoses|Familial Hemophagocytic Lymphocytosis|Familial Hemophagocytic Lymphohistiocytoses|Familial Hemophagocytic Lymphohistiocytosis|Familial Hemophagocytic Reticuloses|Familial Hemophagocytic Reticulosis|Familial Histiocytic Reticuloses|Familial Histiocytic Reticulosis|FEL|FHL|FHL1|FHLH|Hemophagocytic Histiocytoses, Familial|Hemophagocytic Histiocytosis, Familial|Hemophagocytic Hymphohistiocytoses, Primary|Hemophagocytic Hymphohistiocytosis, Primary|Hemophagocytic Lymphocytoses, Familial|Hemophagocytic Lymphocytosis, Familial|Hemophagocytic Lymphohistiocytoses|Hemophagocytic Lymphohistiocytoses, Familial|Hemophagocytic Lymphohistiocytoses, Primary|Hemophagocytic Lymphohistiocytosis|Hemophagocytic Lymphohistiocytosis, Familial|Hemophagocytic Lymphohistiocytosis Familial -1|Hemophagocytic Lymphohistiocytosis Familial 1|Hemophagocytic Lymphohistiocytosis, Familial, 1|Hemophagocytic Lymphohistiocytosis, Primary|Hemophagocytic Reticuloses, Familial|Hemophagocytic Reticulosis, Familial|Hemophagocytic Syndrome|Hemophagocytic Syndrome, Infection Associated|Hemophagocytic Syndrome, Infection-Associated|Hemophagocytic Syndrome, Reactive|Hemophagocytic Syndromes|Histiocytic Reticuloses, Familial|Histiocytic Reticulosis, Familial|Histiocytoses, Familial Hemophagocytic|Histiocytosis, Familial Hemophagocytic|HLH1|HPLH|HPLH1|Hymphohistiocytoses, Primary Hemophagocytic|Hymphohistiocytosis, Primary Hemophagocytic|Infection-Associated Hemophagocytic Syndrome|Lymphocytoses, Familial Hemophagocytic|Lymphocytosis, Familial Hemophagocytic|Lymphohistiocytoses, Familial Erythrophagocytic|Lymphohistiocytoses, Familial Hemophagocytic|Lymphohistiocytoses, Hemophagocytic|Lymphohistiocytoses, Primary Hemophagocytic|Lymphohistiocytosis, Familial Erythrophagocytic|Lymphohistiocytosis, Familial Hemophagocytic|Lymphohistiocytosis, Primary Hemophagocytic|Primary Hemophagocytic Hymphohistiocytoses|Primary Hemophagocytic Hymphohistiocytosis|Primary Hemophagocytic Lymphohistiocytoses|Primary Hemophagocytic Lymphohistiocytosis|Reactive Hemophagocytic Syndrome|Reticuloses, Familial Hemophagocytic|Reticuloses, Familial Histiocytic|Reticulosis, Familial Hemophagocytic|Reticulosis, Familial Histiocytic
Lymphoid Interstitial Pneumonia	MESH:C562489	MESH:D017563	
Lymphoid System Deterioration, Progressive	MESH:C565430	MESH:D007153	
Lymphokine Deficiency	MESH:C565428	MESH:D007153	
